page_url,section,image_id,filename,image_title,image_description,image_type,aspect_ratio,status,current_source,alt,notes
/solutions/irrigation-melioration/,hero,irrigation-hero-01,irrigation-field-pipeline.webp,Разборный трубопровод на орошаемом поле,"Наземный сборно-разборный магистральный трубопровод на сельскохозяйственном поле; видны секции, соединения, направление линии и работающее оросительное оборудование вдали.",photo,16:9,NEEDED,,Разборный трубопровод на орошаемом поле,Без бытового или дачного контекста
/solutions/irrigation-melioration/,pipe-types,irrigation-hdpe-pipe-01,irrigation-hdpe-pipe.webp,ПНД трубы оросительной сети,"ПНД-трубы для магистрального или распределительного участка оросительной сети; изделие и соединительный узел должны быть видны полностью.",product,16:9,INSTALLED,/assets/img/solutions/dewatering/hdpe-pipes.webp,ПНД трубы для оросительной линии,Временно используется изображение из раздела водоотлива
/solutions/irrigation-melioration/,pipe-types,irrigation-steel-pipe-01,irrigation-steel-pipe.webp,Стальная секция разборного трубопровода,"Стальная трубная секция полевой магистрали с подготовленными концами под разъемное соединение; изделие показано полностью.",product,16:9,INSTALLED,/assets/img/solutions/dewatering/steel-pipe.webp,Стальные разборные трубы для орошения,Временно используется изображение из раздела водоотлива
/solutions/irrigation-melioration/,pipe-types,irrigation-aluminum-pipe-01,irrigation-aluminum-pipe.webp,Алюминиевые трубы оросительной сети,"Легкие алюминиевые секции переносного оросительного трубопровода на поле; видны механические соединения и масштаб изделий.",photo,16:9,NEEDED,,Алюминиевые трубы оросительной сети,Не обрезать концы труб
/solutions/irrigation-melioration/,pipe-types,irrigation-layflat-01,irrigation-layflat-hose.webp,Плоскосворачиваемый рукав для орошения,"Развернутый плоскосворачиваемый рукав, подающий воду по полю; видны подключение и условия наземной прокладки.",photo,16:9,INSTALLED,/assets/img/solutions/dewatering/layflat-hoses.webp,Плоскосворачиваемый рукав для подачи воды,Желательна последующая замена на сельскохозяйственный сюжет
/solutions/irrigation-melioration/,pipe-types,irrigation-combined-01,irrigation-combined-pipeline.webp,Комбинированная оросительная линия,"Сочетание жесткой магистральной трубы, гибкого рукава и переходного узла в системе подачи воды к полю.",photo,16:9,INSTALLED,/assets/img/solutions/dewatering/combined-pipeline.webp,Комбинированный трубопровод для орошения,Должна быть понятна функция каждого участка
/solutions/irrigation-melioration/,brs,irrigation-brs-01,irrigation-hinged-clamp-coupling.webp,БРС на шарнирном хомуте,"Быстроразъемное соединение на шарнирном хомуте для жестких трубных секций; видны корпус, хомут и уплотняемый стык.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/brs-hinged-clamp-coupling.webp,Быстроразъемное соединение на шарнирном хомуте,Показывать изделие полностью
/solutions/irrigation-melioration/,components,irrigation-bend-01,irrigation-pipe-bend.webp,Отвод оросительного трубопровода,"Фасонный отвод для изменения направления полевой трубопроводной трассы; видны оба присоединительных конца.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-bend.webp,Отвод оросительного трубопровода,
/solutions/irrigation-melioration/,components,irrigation-tee-01,irrigation-pipe-tee.webp,Тройник распределительной сети,"Тройник для создания ответвления оросительного трубопровода; изделие показано целиком с тремя присоединительными концами.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-tee.webp,Тройник распределительного трубопровода,
/solutions/irrigation-melioration/,components,irrigation-adapter-01,irrigation-pipe-adapter.webp,Переход оросительной линии,"Переходный элемент между трубами или оборудованием разных присоединительных размеров; виден профиль изделия.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/pipe-adapter.webp,Переход для труб оросительной сети,
/solutions/irrigation-melioration/,components,irrigation-end-cap-01,irrigation-end-cap.webp,Заглушка трубопровода,"Концевая заглушка для разборного трубопровода с совместимым присоединительным узлом; изделие на нейтральном фоне.",product,4:3,NEEDED,,Заглушка разборного трубопровода,Показать присоединительную часть
/solutions/irrigation-melioration/,components,irrigation-flange-01,irrigation-flange.webp,Фланец для подключения оборудования,"Фланцевый переход для подключения насоса, арматуры или стационарного участка к разборной линии; видны обе стороны изделия.",product,4:3,NEEDED,,Фланец для подключения оросительного оборудования,Без декоративной обработки
/solutions/irrigation-melioration/,components,irrigation-shutoff-valve-01,irrigation-shutoff-valve.webp,Запорная арматура оросительной сети,"Запорная арматура для отключения ветви оросительной сети; изделие и присоединительные патрубки показаны полностью.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/shutoff-valve.webp,Запорная арматура оросительной сети,
/solutions/irrigation-melioration/,components,irrigation-check-valve-01,irrigation-check-valve.webp,Обратный клапан насосной линии,"Обратный клапан для напорной линии после насоса; видны корпус, направление потока и присоединительные концы.",product,4:3,NEEDED,,Обратный клапан для насосной линии,Маркировка направления должна быть читаема
/solutions/irrigation-melioration/,components,irrigation-flexible-hose-01,irrigation-flexible-hose.webp,Гибкий участок трубопровода,"Гибкий напорный рукав для подключения насоса или дождевальной машины к жесткой линии; видны концевые соединения.",product,4:3,INSTALLED,/assets/img/solutions/dewatering/flexible-hose.webp,Гибкий рукав оросительного трубопровода,
